,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXT,TAVG,TMAX,TMIN,Yearly_AVG
49,USC00093060,"ELBERTON 2 N, GA US",34.1409,-82.8551,164.6,1992,17.0,94.0,59.9,70.8,49.0,62.66833333333336
50,USW00013861,"WAYCROSS WARE CO AIRPORT, GA US",31.25,-82.4,43.3,1992,23.0,98.0,66.5,76.7,56.4,62.66833333333336
51,USC00098351,"STILLMORE, GA US",32.441390000000006,-82.21806,79.2,1992,,,,,,62.66833333333336
52,USC00098476,"SURRENCY, GA US",31.70778,-82.19694,61.0,1992,17.0,99.0,64.9,76.4,53.4,62.66833333333336
53,USC00091619,"CARNESVILLE, GA US",34.36555,-83.23278,204.2,1992,,,,,,62.66833333333336
54,USC00090406,"ASHBURN 3 ENE, GA US",31.70028,-83.62306,132.6,1992,,,,,,62.66833333333336
55,USC00095882,"MILLEN 4 N, GA US",32.87028,-81.96722,59.4,1992,,,,,,62.66833333333336
56,USC00092429,"CURRYVILLE 3 W, GA US",34.4397,-85.1033,188.1,1992,,,,,,62.66833333333336
57,USC00096335,"NEWNAN 7 WNW, GA US",33.3996,-84.915,242.3,1992,14.0,94.0,61.1,71.9,50.2,62.66833333333336
58,USC00094674,"JESUP 4 NE, GA US",31.65,-81.83333,24.4,1992,24.0,100.0,67.2,77.9,56.5,62.66833333333336
59,USC00094676,"JESUP 8 S, GA US",31.5075,-81.8628,30.5,1992,,,,,,62.66833333333336
60,USC00091973,"CLAXTON, GA US",32.16778,-81.90083,57.3,1992,23.0,98.0,64.1,75.3,52.8,62.66833333333336
61,USC00091732,"CEDARTOWN, GA US",34.0588,-85.2338,239.3,1992,15.0,97.0,59.9,71.1,48.8,62.66833333333336
62,USC00093754,"GLENNVILLE 3 NW, GA US",31.988000000000003,-81.9522,61.0,1992,24.0,98.0,64.9,75.5,54.4,62.66833333333336
63,USC00096219,"NAHUNTA 6 NE, GA US",31.2738,-81.9197,20.7,1992,,,,,,62.66833333333336
64,USW00013870,"ALMA BACON CO AIRPORT, GA US",31.5358,-82.5067,58.8,1992,24.0,98.0,67.3,76.8,57.8,62.66833333333336
65,USC00092266,"CORDELE, GA US",31.985,-83.77472,93.9,1992,22.0,100.0,66.5,77.5,55.6,62.66833333333336
66,USC00092783,"DOUGLAS, GA US",31.48889,-82.82056,71.0,1992,20.0,99.0,63.8,77.1,50.4,62.66833333333336
67,USW00013878,"BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US",31.1522,-81.3908,4.9,1992,27.0,96.0,66.4,73.6,59.3,62.66833333333336
68,USW00013874,"ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US",33.6301,-84.4418,307.8,1992,18.0,96.0,61.9,71.1,52.7,62.66833333333336
69,USW00013873,"ATHENS BEN EPPS AIRPORT, GA US",33.948,-83.3275,239.3,1992,18.0,98.0,61.4,71.5,51.3,62.66833333333336
70,USC00099291,"WEST POINT, GA US",32.8861,-85.1838,175.3,1992,19.0,98.0,61.2,72.5,49.9,62.66833333333336
71,USC00098064,"SILOAM 3 N, GA US",33.5635,-83.0768,211.8,1992,,,,,,62.66833333333336
72,USC00096043,"MORGAN 5 NW, GA US",31.606109999999997,-84.64528,83.2,1992,,,,,,62.66833333333336
73,USC00099157,"WASHINGTON, GA US",33.7264,-82.7059,189.0,1992,21.0,94.0,60.4,71.1,49.8,62.66833333333336
74,USC00098223,"SPARTA, GA US",33.2725,-82.96694000000001,173.7,1992,,,,,,62.66833333333336
75,USC00098740,"TOCCOA, GA US",34.5786,-83.3319,308.5,1992,,94.0,,69.9,,62.66833333333336
76,USC00090219,"ALPHARETTA 4 SSW, GA US",34.10139,-84.35056,346.9,1992,14.0,93.0,58.3,68.6,47.9,62.66833333333336
77,USC00091425,"BUTLER, GA US",32.6524,-84.1858,135.9,1992,,,,,,62.66833333333336
78,USC00095874,"MILLEDGEVILLE, GA US",33.0831,-83.2498,112.2,1992,17.0,98.0,61.9,74.4,49.4,62.66833333333336
79,USC00097777,"SANDERSVILLE, GA US",32.9745,-82.8045,137.5,1992,23.0,96.0,61.9,72.5,51.3,62.66833333333336
80,USC00094941,"CHICKAMAUGA 2 SW, GA US",34.853,-85.3142,243.5,1992,11.0,92.0,57.6,69.2,46.0,62.66833333333336
81,USC00094700,"JONESBORO, GA US",33.5312,-84.3545,283.5,1992,,,,,,62.66833333333336
82,USC00093325,"FARGO 17 NE, GA US",30.8264,-82.3606,37.8,1992,,,,,,62.66833333333336
83,USC00091266,"BROOKLET 1 W, GA US",32.375,-81.6731,54.9,1992,24.0,97.0,65.4,75.3,55.6,62.66833333333336
84,USC00092475,"DAHLONEGA 4 WSW, GA US",34.5069,-84.0207,445.0,1992,13.0,91.0,56.0,68.0,44.0,62.66833333333336
85,USC00094429,"HOMERVILLE 5 N, GA US",31.0767,-82.8003,57.0,1992,20.0,98.0,64.2,76.9,51.6,62.66833333333336
86,USC00094949,"LA GRANGE, GA US",33.0537,-85.0318,222.5,1992,18.0,95.0,61.8,73.0,50.6,62.66833333333336
87,USC00097087,"PLAINS SW GA EXPERIMENTAL STATION, GA US",32.0467,-84.3711,152.4,1992,22.0,99.0,64.0,74.9,53.0,62.66833333333336
88,USC00092408,"CUMMING 2 N, GA US",34.2286,-84.1281,347.5,1992,,,,,,62.66833333333336
89,USC00094133,"HARTWELL, GA US",34.35178,-82.93013,245.4,1992,,,,,,62.66833333333336
90,USC00090746,"BEAVERDALE, GA US",34.91944,-84.83221999999999,225.6,1992,,,,,,62.66833333333336
91,USC00095863,"MIDVILLE EXPERIMENTAL STATION, GA US",32.8753,-82.2156,85.3,1992,21.0,99.0,62.8,73.8,51.7,62.66833333333336
92,USC00092006,"CLEVELAND, GA US",34.5859,-83.7658,477.6,1992,,,,,,62.66833333333336
93,USC00095988,"MONTICELLO, GA US",33.3329,-83.6975,157.9,1992,,,,,,62.66833333333336
94,USC00090586,"BAINBRIDGE INTERNATIONAL PAPER, GA US",30.822779999999998,-84.6175,57.9,1992,21.0,98.0,66.2,78.4,54.0,62.66833333333336
95,USC00096838,"PATTERSON, GA US",31.3781,-82.1292,32.0,1992,,,,,,62.66833333333336
96,USC00092485,"DALLAS 7 NE, GA US",33.9982,-84.751,313.3,1992,12.0,96.0,58.5,70.2,46.9,62.66833333333336
97,USC00097808,"SAPELO ISLAND, GA US",31.398059999999997,-81.28076999999999,3.0,1992,24.0,97.0,65.6,75.1,56.2,62.66833333333336
98,USC00092361,"CRISP CO POWER DAM, GA US",31.8453,-83.9409,74.7,1992,,,,,,62.66833333333336
99,USC00093570,"FRANKLIN, GA US",33.2759,-85.0992,240.8,1992,,,,,,62.66833333333336
100,USW00003813,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",32.6847,-83.6527,104.5,1992,20.0,99.0,63.8,74.8,52.9,62.66833333333336
101,USC00098600,"TAYLORSVILLE, GA US",34.086,-84.9827,219.8,1992,,,,,,62.66833333333336
102,USC00092578,"DAWSONVILLE, GA US",34.420559999999995,-84.10389,409.3,1992,,,,,,62.66833333333336
103,USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,1992,21.0,96.0,61.8,73.9,49.7,62.66833333333336
104,USC00093147,"EMBRY, GA US",33.8751,-85.0008,388.0,1992,,,,,,62.66833333333336
105,USC00094648,"JASPER 1 NNW, GA US",34.4758,-84.4461,446.5,1992,10.0,90.0,57.5,66.7,48.2,62.66833333333336
106,USC00095858,"MIDVILLE, GA US",32.808890000000005,-82.23722,53.3,1992,,,,,,62.66833333333336
107,USC00095979,"MONTEZUMA 2 NW, GA US",32.3176,-84.065,91.1,1992,,,,,,62.66833333333336
108,USC00093386,"FITZGERALD, GA US",31.710829999999998,-83.25166999999999,112.8,1992,,,,,,62.66833333333336
109,USC00092450,"CUTHBERT, GA US",31.767220000000002,-84.79306,140.5,1992,25.0,98.0,66.0,76.2,55.8,62.66833333333336
110,USC00092570,"DAWSON, GA US",31.781940000000002,-84.44972,108.2,1992,,,,,,62.66833333333336
111,USC00090969,"BLAIRSVILLE EXPERIMENTAL STATION, GA US",34.8544,-83.9444,594.1,1992,7.0,90.0,55.1,67.3,43.0,62.66833333333336
112,USC00094230,"HELEN, GA US",34.6996,-83.7261,455.1,1992,11.0,92.0,58.3,69.5,47.1,62.66833333333336
113,USC00095165,"LEXINGTON, GA US",33.8705,-83.1135,221.3,1992,,,,,,62.66833333333336
114,USC00099524,"WOODSTOCK, GA US",34.10972,-84.515,320.6,1992,,,,,,62.66833333333336
