"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00097171","PRIDGEN, GA US","31.6953","-82.9239","91.4","2005","18","95","65.1","76.2","54.0"
"USC00091908","CHICKAMAUGA PARK LARC, GA US","34.9203","-85.2711","238.4","2005","12","97","59.4","72.0","46.8"
"USC00091906","CHICKAMAUGA PARK, GA US","34.9","-85.27167","225.6","2005",,,,,
"USC00092839","DUBLIN, GA US","32.5575","-82.9036","70.1","2005","16","99","64.1","75.7","52.5"
"USC00098661","THOMASTON 4 SE, GA US","32.867","-84.2654","189.0","2005","16","97","63.1","75.0","51.2"
"USC00098666","THOMASVILLE 7 NE, GA US","30.91389","-83.86111","73.2","2005",,,,,
"USC00096244","NASHVILLE 4 N, GA US","31.2644","-83.2391","77.7","2005",,,,,
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","33.35528","-84.56694","243.2","2005","11","95","60.7","72.5","48.9"
"USR0000GBYR","BYROMVILLE GEORGIA, GA US","32.2033","-83.9319","152.4","2005","17","98","65.2","76.0","54.4"
"USC00094862","KITE, GA US","32.7127","-82.5415","94.8","2005","12","99","63.8","76.0","51.5"
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","2005","23","100","66.8","77.9","55.8"
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","2005","13","100","63.8","75.7","51.9"
"USW00063856","BRUNSWICK 23 S, GA US","30.8078","-81.4596","7.6","2005","24","95","67.2","75.6","58.7"
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2005",,"96",,"76.2",
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","2005","12","97","60.5","72.4","48.7"
"USC00092799","DOVER, GA US","32.5997","-81.7078","31.4","2005",,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2005","15","94","56.6","69.5","43.7"
"USC00092159","COLUMBUS NUMBER 2, GA US","32.5181","-84.9378","132.6","2005",,,,,
"USR0000GBRA","BRASSTOWN NUMBER 1 GEORGIA, GA US","34.8028","-83.71","999.7","2005","7","88","55.2","62.5","48.0"
"USC00090253","AMERICUS, GA US","32.0306","-84.2461","121.0","2005",,,,,
"USC00091585","CANTON, GA US","34.2071","-84.5039","345.9","2005",,,,,
"USC00091340","BRUNSWICK, GA US","31.1681","-81.5022","4.0","2005",,,,,
"USC00090010","ABBEVILLE, GA US","31.938","-83.3077","73.2","2005",,,,,
"USC00092153","COLQUITT 2 W, GA US","31.16806","-84.76639","46.6","2005",,,,,
"USC00099186","WAYCROSS 4 NE, GA US","31.2514","-82.3128","44.2","2005","18","97","66.1","78.1","54.1"
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2005","12","99","63.9","76.0","51.7"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2005","21","99","65.9","76.4","55.4"
"USC00099502","WOODBINE, GA US","30.9591","-81.7071","4.9","2005","23","97","65.9","77.1","54.6"
"USC00097201","PRESTON, GA US","32.0547","-84.5239","123.4","2005",,,,,
"USC00097600","ROME, GA US","34.2413","-85.1584","208.8","2005","16","96","61.2","72.4","49.9"
"USR0000GMET","METTER GEORGIA, GA US","32.3911","-82.0372","30.2","2005",,,,,
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2005","18","97","65.0","76.4","53.7"
"USC00099506","WOODBURY, GA US","32.9783","-84.5982","222.5","2005",,,,,
"USC00093658","GEORGETOWN 4 E, GA US","31.8966","-85.0375","149.4","2005",,,,,
"USC00095666","MCDONOUGH 5 ENE, GA US","33.47686","-84.03358","215.8","2005","13","99","61.8","73.9","49.7"
"USC00090140","ALBANY 3 SE, GA US","31.5338","-84.1488","54.9","2005","20","97","65.9","77.1","54.8"
"USR0000GWAY","WAYCROSS GEORGIA, GA US","31.11","-82.26","38.1","2005","20","99","67.3","77.7","56.9"
"USC00092283","CORNELIA, GA US","34.5181","-83.5286","448.1","2005","15","94","58.6","68.3","49.0"
"USR0000GWAS","WASHINGTON GEORGIA, GA US","33.7806","-82.8161","180.7","2005","12","99","62.1","73.0","51.3"
"USC00099194","WAYNESBORO 2 S, GA US","33.07129","-82.00728","84.4","2005","13","98","63.9","74.9","53.0"
"USR0000GPLA","PLAINS SUMTER GEORGIA, GA US","32.0097","-84.33","160.3","2005","17","96","65.0","75.4","54.7"
"USC00098241","SPRINGFIELD, GA US","32.35879","-81.31181","25.6","2005",,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27194","-83.83028","388.6","2005","16","96","61.2","70.4","51.9"
"USC00091965","CLARKESVILLE, GA US","34.6159","-83.5429","423.7","2005",,"94",,"69.5",
"USC00094204","HAZLEHURST, GA US","31.8878","-82.5808","76.2","2005",,"98",,"76.8",
"USC00090236","ALTO 4 SE, GA US","34.4416","-83.5161","279.8","2005","11","95","59.4","70.5","48.2"
"USC00093465","FOLKSTON 9 SW, GA US","30.74","-82.1278","36.6","2005","21","100","68.9","80.3","57.5"
"USC00094728","JULIETTE, GA US","33.1139","-83.7881","137.2","2005",,,,,
"USR0000GJON","JONES ISLAND GEORGIA, GA US","30.8289","-82.36","34.7","2005","23","99","68.1","78.6","57.5"
"USW00093842","COLUMBUS METROPOLITAN AIRPORT, GA US","32.5161","-84.9422","119.5","2005","20","98","65.9","76.0","55.7"
"USC00093060","ELBERTON 2 N, GA US","34.1409","-82.8551","164.6","2005","10","94","58.4","69.8","47.0"
"USW00093845","VALDOSTA REGIONAL AIRPORT, GA US","30.7825","-83.27667","60.4","2005","20","100","67.3","78.5","56.0"
"USC00091619","CARNESVILLE, GA US","34.36555","-83.23278","204.2","2005",,,,,
"USR0000GNEW","NEWNAN GEORGIA, GA US","33.3653","-84.8594","236.2","2005","13","98","62.2","73.4","50.9"
"USR0000GTAL","TALLULAH NUMBER 1 GEORGIA, GA US","34.9058","-83.3344","831.5","2005","10","90","57.7","65.1","50.3"
"USW00013869","ALBANY SW GEORGIA REGIONAL AIRPORT, GA US","31.53556","-84.19444","57.9","2005","18","98","67.2","78.4","56.1"
"USC00090406","ASHBURN 3 ENE, GA US","31.70028","-83.62306","132.6","2005",,,,,
"USR0000GDAW","DAWSONVILLE GEORGIA, GA US","34.3761","-84.0597","369.7","2005","9","97","60.4","71.9","48.9"
"USC00092429","CURRYVILLE 3 W, GA US","34.4397","-85.1033","188.1","2005",,,,,
"USR0000GCHA","CHATTOOGA NUMBER 1 GEORGIA, GA US","34.6403","-83.5219","457.2","2005","11","96","58.9","69.7","48.1"
"USR0000GMCR","MCRAE GEORGIA, GA US","32.0097","-82.9","76.2","2005","15","102","66.1","78.1","54.1"
"USR0000GATH","WATKINSVILLE GEORGIA, GA US","33.8967","-83.3656","205.7","2005","12","99","62.4","73.5","51.3"
"USC00094676","JESUP 8 S, GA US","31.5075","-81.8628","30.5","2005",,,,,
"USC00095404","MABLETON 1 N, GA US","33.8533","-84.5783","298.7","2005",,,,,
"USC00093754","GLENNVILLE 3 NW, GA US","31.988","-81.9522","61.0","2005",,,,,
"USC00093115","ELLIJAY, GA US","34.6937","-84.4935","414.2","2005",,,,,
"USC00096219","NAHUNTA 6 NE, GA US","31.2738","-81.9197","20.7","2005","21","97","66.1","78.3","53.8"
"USW00013870","ALMA BACON CO AIRPORT, GA US","31.5358","-82.5067","58.8","2005","23","98","66.7","77.6","55.7"
"USC00092266","CORDELE, GA US","31.985","-83.77472","93.9","2005",,"101",,"78.8",
"USC00092783","DOUGLAS, GA US","31.48889","-82.82056","71.0","2005",,,,,
"USC00097827","SAUTEE 3 W, GA US","34.6646","-83.7342","484.9","2005","6","86","54.3","64.3","44.3"
"USW00013878","BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US","31.1522","-81.3908","4.9","2005","24","95","67.6","75.4","59.8"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","2005","16","94","62.3","71.4","53.1"
"USW00013873","ATHENS BEN EPPS AIRPORT, GA US","33.948","-83.3275","239.3","2005","14","97","61.9","72.6","51.3"
"USC00098064","SILOAM 3 N, GA US","33.5635","-83.0768","211.8","2005","14","99","61.9","73.6","50.2"
"USR0000GCOO","ADEL GEORGIA, GA US","31.1097","-83.4269","46.9","2005","24","98","67.4","77.6","57.2"
"USC00096043","MORGAN 5 NW, GA US","31.60611","-84.64528","83.2","2005",,,,,
"USC00099157","WASHINGTON, GA US","33.7264","-82.7059","189.0","2005",,,,,
"USC00098740","TOCCOA, GA US","34.5786","-83.3319","308.5","2005",,"98",,"73.1",
"USW00013837","AUGUSTA DANIEL FIELD AIRPORT, GA US","33.46694","-82.03861","128.9","2005","18","100","65.2","74.7","55.7"
"USC00092517","DANIELSVILLE, GA US","34.1175","-83.3044","237.7","2005","15","96","60.4","71.2","49.7"
"USC00094941","CHICKAMAUGA 2 SW, GA US","34.853","-85.3142","243.5","2005","16","95","59.0","71.1","46.9"
"USC00094700","JONESBORO, GA US","33.5312","-84.3545","283.5","2005",,,,,
"USC00093325","FARGO 17 NE, GA US","30.8264","-82.3606","37.8","2005","22","100","67.8","79.2","56.3"
"USR0000GMCI","MILLEDGEVILLE GEORGIA, GA US","32.7797","-83.25","128.0","2005","19","99","65.5","76.2","54.8"
"USC00091266","BROOKLET 1 W, GA US","32.375","-81.6731","54.9","2005","20","99","65.8","76.4","55.1"
"USC00094429","HOMERVILLE 5 N, GA US","31.0767","-82.8003","57.0","2005",,"98",,"77.6",
"USC00095917","MINERAL BLUFF, GA US","34.95278","-84.32139","528.2","2005","-5","96","57.3","70.4","44.1"
"USR0000GDAL","DALLAS GEORGIA, GA US","33.8333","-84.74","276.5","2005","13","96","60.7","72.3","49.2"
"USW00053863","ATLANTA DEKALB PEACHTREE AIRPORT, GA US","33.875","-84.30222","305.3","2005","14","97","61.8","72.2","51.4"
"USC00095061","LEESBURG 2, GA US","31.7633","-84.1869","79.2","2005","18","99","65.8","77.2","54.3"
