"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00097171","PRIDGEN, GA US","31.6953","-82.9239","91.4","2011","20","100","65.8","78.3","53.3"
"USR0000GBYR","BYROMVILLE GEORGIA, GA US","32.2033","-83.9319","152.4","2011","17","103","66.4","79.0","53.7"
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","2011","20","101","66.1","78.8","53.3"
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","2011","17","103","65.2","78.2","52.2"
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2011","18","100","66.2","78.7","53.8"
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","2011","9","99","61.1","72.8","49.3"
"US1GACK0010","ATHENS 4.5 SE, GA US","33.9055","-83.3448","224.0","2011",,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2011","3","95","57.0","70.0","44.0"
"USC00092159","COLUMBUS NUMBER 2, GA US","32.5181","-84.9378","132.6","2011",,"101",,"78.0",
"US1GACG0002","SUMMERVILLE 2.6 NW, GA US","34.5091","-85.3758","213.1","2011",,,,,
"US1GAFL0002","LINDALE 3.0 S, GA US","34.1445","-85.1725","244.1","2011",,,,,
"US1GACY0002","FORT GAINES 13.0 ENE, GA US","31.731","-84.9654","131.1","2011",,,,,
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2011","15","105","65.3","79.3","51.3"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2011","18","102","67.9","79.6","56.3"
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2011",,,,,
"USC00092844","DUBLIN 2, GA US","32.5574","-82.8999","61.0","2011","15","101","65.1","78.9","51.3"
"USC00095666","MCDONOUGH 5 ENE, GA US","33.47686","-84.03358","215.8","2011",,,,,
"USR0000GWAY","WAYCROSS GEORGIA, GA US","31.11","-82.26","38.1","2011","19","102","68.2","80.2","56.2"
"USC00092283","CORNELIA, GA US","34.5181","-83.5286","448.1","2011","13","96","59.4","69.7","49.2"
"USR0000GWAS","WASHINGTON GEORGIA, GA US","33.7806","-82.8161","180.7","2011",,,,,
"US1GAWR0002","MANOR 2.1 SE, GA US","31.0752","-82.5605","43.9","2011",,,,,
"USC00091965","CLARKESVILLE, GA US","34.6159","-83.5429","423.7","2011","11","96","58.7","71.3","46.1"
"US1GALR0004","ROCKLEDGE 1.8 SW, GA US","32.4212","-82.7164","81.1","2011",,,,,
"USC00094204","HAZLEHURST, GA US","31.8878","-82.5808","76.2","2011","17","101","66.5","79.2","53.9"
"US1GALR0003","RENTZ 8.7 SE, GA US","32.2827","-82.9046","94.8","2011",,,,,
"USC00093465","FOLKSTON 9 SW, GA US","30.74","-82.1278","36.6","2011","20","101","70.2","82.5","57.8"
"US1GATF0006","TIFTON 5.5 E, GA US","31.4615","-83.4178","100.0","2011",,,,,
"USC00091619","CARNESVILLE, GA US","34.36555","-83.23278","204.2","2011",,,,,
"USW00013869","ALBANY SW GEORGIA REGIONAL AIRPORT, GA US","31.53556","-84.19444","57.9","2011","17","104","68.2","81.0","55.4"
"USR0000GCHA","CHATTOOGA NUMBER 1 GEORGIA, GA US","34.6403","-83.5219","457.2","2011","11","96","59.6","71.1","48.1"
"USR0000GATH","WATKINSVILLE GEORGIA, GA US","33.8967","-83.3656","205.7","2011","16","100","63.2","74.9","51.5"
"USC00091732","CEDARTOWN, GA US","34.0588","-85.2338","239.3","2011","10","100","59.8","73.3","46.4"
"USC00093115","ELLIJAY, GA US","34.6937","-84.4935","414.2","2011",,,,,
"USW00013870","ALMA BACON CO AIRPORT, GA US","31.5358","-82.5067","58.8","2011","18","103","68.0","81.0","54.9"
"US1GADH0005","PUTNEY 6.8 ESE, GA US","31.4539","-83.9983","84.7","2011",,,,,
"USC00092266","CORDELE, GA US","31.985","-83.77472","93.9","2011","13","100","64.2","77.0","51.4"
"USC00097827","SAUTEE 3 W, GA US","34.6646","-83.7342","484.9","2011","9","87","55.1","65.5","44.6"
"USR0000GCHS","CHATSWORTH GEORGIA, GA US","34.77","-84.5833","609.6","2011","8","100","62.0","73.3","50.6"
"US1GADH0002","ALBANY 4.4 WNW, GA US","31.6012","-84.245","64.9","2011",,,,,
"US1GADH0001","ALBANY 3.7 NE, GA US","31.618","-84.1352","60.0","2011",,,,,
"USW00013878","BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US","31.1522","-81.3908","4.9","2011","26","101","69.8","78.2","61.5"
"US1GABB0007","MACON 3.1 WNW, GA US","32.8504","-83.7083","117.3","2011",,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","2011","19","99","64.2","74.3","54.1"
"USW00013873","ATHENS BEN EPPS AIRPORT, GA US","33.948","-83.3275","239.3","2011","16","102","63.5","75.5","51.4"
"US1GAMA0001","COMER 3.5 NNE, GA US","34.1095","-83.1024","177.1","2011",,,,,
"USC00098740","TOCCOA, GA US","34.5786","-83.3319","308.5","2011","18","100","62.7","73.4","51.9"
"US1GABS0003","JACKSON 5.1 SW, GA US","33.2337","-84.015","214.9","2011",,,,,
"US1GAMA0007","DANIELSVILLE 0.6 SW, GA US","34.1173","-83.2267","199.0","2011",,,,,
"USC00092517","DANIELSVILLE, GA US","34.1175","-83.3044","237.7","2011","14","100","61.6","73.4","49.8"
"USC00097777","SANDERSVILLE, GA US","32.9745","-82.8045","137.5","2011","17","98","64.3","76.7","51.9"
"USC00094941","CHICKAMAUGA 2 SW, GA US","34.853","-85.3142","243.5","2011","7","98","59.2","71.1","47.3"
"USC00094700","JONESBORO, GA US","33.5312","-84.3545","283.5","2011","18","97","62.4","73.4","51.3"
"USC00092753","DORAVILLE, GA US","33.9377","-84.2701","313.9","2011",,,,,
"US1GAEM0001","SWAINSBORO 1.1 NE, GA US","32.6006","-82.3227","80.8","2011",,,,,
"US1GAMA0010","NICHOLSON 4.9 SE, GA US","34.0642","-83.371","235.9","2011",,,,,
