OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
42001,Lightning,MT,8/21/1992,8/22/1992,1992,0.1,45.90666667,-113.9933333,1
42002,Lightning,MT,8/25/1992,8/25/1992,1992,0.3,45.89166667,-113.6933333,0
42003,Campfire,MT,9/12/1992,9/12/1992,1992,0.1,45.69333333,-113.9583333,0
42004,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,46.02833333,-113.7016667,1
42005,Lightning,MT,5/19/1992,5/20/1992,1992,0.1,45.88333333,-114.2,1
42006,Campfire,ID,5/24/1992,5/24/1992,1992,0.1,45.66666667,-114.7666667,0
42007,Lightning,ID,6/10/1992,6/14/1992,1992,0.1,45.87166667,-114.8166667,4
42008,Lightning,ID,6/10/1992,6/11/1992,1992,0.3,45.85333333,-114.79,1
42009,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.675,-114.3716667,1
42010,Lightning,MT,6/10/1992,6/11/1992,1992,0.3,45.75166667,-114.24,1
42011,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.8,-114.2833333,1
42012,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.75,-114.3833333,1
42013,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.7,-114.2833333,1
42014,Lightning,MT,6/11/1992,6/11/1992,1992,0.1,45.83333333,-114.38,0
42015,Lightning,MT,6/11/1992,6/12/1992,1992,0.1,45.58333333,-114.3166667,1
42016,Lightning,MT,6/12/1992,6/12/1992,1992,0.1,45.79333333,-114.3383333,0
42017,Lightning,MT,6/24/1992,6/25/1992,1992,0.1,45.56166667,-114.4166667,1
42018,Lightning,MT,6/24/1992,6/25/1992,1992,0.1,45.78333333,-114.2666667,1
42019,Lightning,ID,6/25/1992,6/26/1992,1992,0.1,45.7,-114.8333333,1
42020,Lightning,ID,7/8/1992,7/8/1992,1992,0.2,45.82166667,-114.71,0
42021,Debris Burning,MT,7/7/1992,7/8/1992,1992,0.1,45.86666667,-114.215,1
