"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00099077","WALESKA, GA US","34.31083","-84.5375","364.5","1992",,,,,
"USC00091906","CHICKAMAUGA PARK, GA US","34.9","-85.27167","225.6","1992",,,,,
"USC00096087","MOULTRIE 2 ESE, GA US","31.1769","-83.7491","103.6","1992","23","99","67.2","77.7","56.7"
"USC00095394","LUMPKIN 2 SE, GA US","32.0306","-84.7754","147.8","1992",,,,,
"USC00092839","DUBLIN, GA US","32.5575","-82.9036","70.1","1992",,,,,
"USC00095550","MARSHALLVILLE, GA US","32.45667","-83.94","54.9","1992",,,,,
"USC00098661","THOMASTON 4 SE, GA US","32.867","-84.2654","189.0","1992","18","100","63.3","75.2","51.4"
"USC00098666","THOMASVILLE 7 NE, GA US","30.91389","-83.86111","73.2","1992",,,,,
"USC00092716","DOCTORTOWN 1 WSW, GA US","31.65","-81.85","24.4","1992",,,,,
"USC00096244","NASHVILLE 4 N, GA US","31.2644","-83.2391","77.7","1992","20","97","66.0","78.0","54.0"
"USC00096126","MOUNT VERNON, GA US","32.1738","-82.5956","69.8","1992",,,,,
"USC00092318","COVINGTON, GA US","33.59722","-83.84361","234.4","1992","18","95","60.4","70.8","49.9"
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","1992","24","101","63.9","74.2","53.7"
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","1992","23",,,,"53.1"
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","1992","22","98","66.0","76.5","55.6"
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","1992",,,,,
"USC00092799","DOVER, GA US","32.5997","-81.7078","31.4","1992",,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","1992","12","92","56.9","68.6","45.1"
"USC00090253","AMERICUS, GA US","32.0306","-84.2461","121.0","1992","22","97","63.2","74.5","51.8"
"USC00091463","CAIRO, GA US","30.8696","-84.2174","61.3","1992",,,,,
"USC00091585","CANTON, GA US","34.2071","-84.5039","345.9","1992",,,,,
"USC00091340","BRUNSWICK, GA US","31.1681","-81.5022","4.0","1992",,"99",,"76.5",
"USC00090010","ABBEVILLE, GA US","31.938","-83.3077","73.2","1992",,,,,
"USC00092153","COLQUITT 2 W, GA US","31.16806","-84.76639","46.6","1992","20","97","65.9","77.1","54.8"
"USC00099186","WAYCROSS 4 NE, GA US","31.2514","-82.3128","44.2","1992","20","101","66.2","78.1","54.4"
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","1992","14","99","63.1","75.2","50.9"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","1992","25","100","66.7","76.4","57.0"
"USC00098496","SWAINSBORO, GA US","32.58056","-82.38222","97.5","1992","21","97","64.6","75.5","53.8"
"USC00097201","PRESTON, GA US","32.0547","-84.5239","123.4","1992",,,,,
"USC00097600","ROME, GA US","34.2413","-85.1584","208.8","1992","15","92","58.2","68.8","47.7"
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","1992","23","97","63.9","74.7","53.2"
"USC00093538","FORT STEWART, GA US","31.86945","-81.62358","28.0","1992",,,,,
"USC00099506","WOODBURY, GA US","32.9783","-84.5982","222.5","1992",,,,,
"USC00094854","KINGSTON, GA US","34.23333","-84.94528","214.0","1992",,,,,
"USC00091474","CALHOUN EXPERIMENTAL STATION, GA US","34.48333","-84.96667","199.6","1992","13","95","58.4","70.2","46.6"
"USC00090140","ALBANY 3 SE, GA US","31.5338","-84.1488","54.9","1992","18","98","64.7","78.0","51.4"
"USC00092283","CORNELIA, GA US","34.5181","-83.5286","448.1","1992","13","91","57.4","67.4","47.4"
"USC00099194","WAYNESBORO 2 S, GA US","33.07129","-82.00728","84.4","1992",,,,,
"USC00097276","QUITMAN 2 NW, GA US","30.78361","-83.56917","56.4","1992","22","95","65.3","76.7","53.9"
"USC00097430","RESACA, GA US","34.59111","-84.95889","198.1","1992",,,,,
"USC00091448","BYRON EXPERIMENT STATION, GA US","32.66944","-83.74528","149.4","1992","19","99","62.6","73.8","51.4"
"USC00091965","CLARKESVILLE, GA US","34.6159","-83.5429","423.7","1992",,"92",,"67.9",
"USC00092532","DANVILLE, GA US","32.6","-83.25","137.2","1992",,,,,
"USC00093621","GAINESVILLE, GA US","34.3006","-83.86","356.6","1992","17","94","60.2","70.6","49.8"
"USC00093465","FOLKSTON 9 SW, GA US","30.74","-82.1278","36.6","1992","21","100","67.6","80.3","54.9"
"USC00094728","JULIETTE, GA US","33.1139","-83.7881","137.2","1992",,,,,
"USC00092493","DALTON, GA US","34.77","-84.88722","243.5","1992","12","94","59.3","69.7","48.8"
"USC00093460","FOLKSTON 3 SW, GA US","30.7997","-82.0313","9.1","1992",,,,,
"USW00093842","COLUMBUS METROPOLITAN AIRPORT, GA US","32.5161","-84.9422","119.5","1992","22","100","64.8","75.1","54.4"
"USC00093060","ELBERTON 2 N, GA US","34.1409","-82.8551","164.6","1992","17","94","59.9","70.8","49.0"
"USW00013861","WAYCROSS WARE CO AIRPORT, GA US","31.25","-82.4","43.3","1992","23","98","66.5","76.7","56.4"
"USC00098351","STILLMORE, GA US","32.44139","-82.21806","79.2","1992",,,,,
"USC00098476","SURRENCY, GA US","31.70778","-82.19694","61.0","1992","17","99","64.9","76.4","53.4"
"USC00091619","CARNESVILLE, GA US","34.36555","-83.23278","204.2","1992",,,,,
"USC00090406","ASHBURN 3 ENE, GA US","31.70028","-83.62306","132.6","1992",,,,,
"USC00095882","MILLEN 4 N, GA US","32.87028","-81.96722","59.4","1992",,,,,
"USC00092429","CURRYVILLE 3 W, GA US","34.4397","-85.1033","188.1","1992",,,,,
"USC00096335","NEWNAN 7 WNW, GA US","33.3996","-84.915","242.3","1992","14","94","61.1","71.9","50.2"
"USC00094674","JESUP 4 NE, GA US","31.65","-81.83333","24.4","1992","24","100","67.2","77.9","56.5"
"USC00094676","JESUP 8 S, GA US","31.5075","-81.8628","30.5","1992",,,,,
"USC00091973","CLAXTON, GA US","32.16778","-81.90083","57.3","1992","23","98","64.1","75.3","52.8"
"USC00091732","CEDARTOWN, GA US","34.0588","-85.2338","239.3","1992","15","97","59.9","71.1","48.8"
"USC00093754","GLENNVILLE 3 NW, GA US","31.988","-81.9522","61.0","1992","24","98","64.9","75.5","54.4"
"USC00096219","NAHUNTA 6 NE, GA US","31.2738","-81.9197","20.7","1992",,,,,
"USW00013870","ALMA BACON CO AIRPORT, GA US","31.5358","-82.5067","58.8","1992","24","98","67.3","76.8","57.8"
"USC00092266","CORDELE, GA US","31.985","-83.77472","93.9","1992","22","100","66.5","77.5","55.6"
"USC00092783","DOUGLAS, GA US","31.48889","-82.82056","71.0","1992","20","99","63.8","77.1","50.4"
"USW00013878","BRUNSWICK MALCOLM MCKINNON AIRPORT, GA US","31.1522","-81.3908","4.9","1992","27","96","66.4","73.6","59.3"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1992","18","96","61.9","71.1","52.7"
"USW00013873","ATHENS BEN EPPS AIRPORT, GA US","33.948","-83.3275","239.3","1992","18","98","61.4","71.5","51.3"
"USC00099291","WEST POINT, GA US","32.8861","-85.1838","175.3","1992","19","98","61.2","72.5","49.9"
"USC00098064","SILOAM 3 N, GA US","33.5635","-83.0768","211.8","1992",,,,,
"USC00096043","MORGAN 5 NW, GA US","31.60611","-84.64528","83.2","1992",,,,,
"USC00099157","WASHINGTON, GA US","33.7264","-82.7059","189.0","1992","21","94","60.4","71.1","49.8"
"USC00098223","SPARTA, GA US","33.2725","-82.96694","173.7","1992",,,,,
"USC00098740","TOCCOA, GA US","34.5786","-83.3319","308.5","1992",,"94",,"69.9",
"USC00090219","ALPHARETTA 4 SSW, GA US","34.10139","-84.35056","346.9","1992","14","93","58.3","68.6","47.9"
"USC00091425","BUTLER, GA US","32.6524","-84.1858","135.9","1992",,,,,
"USC00095874","MILLEDGEVILLE, GA US","33.0831","-83.2498","112.2","1992","17","98","61.9","74.4","49.4"
"USC00097777","SANDERSVILLE, GA US","32.9745","-82.8045","137.5","1992","23","96","61.9","72.5","51.3"
"USC00094941","CHICKAMAUGA 2 SW, GA US","34.853","-85.3142","243.5","1992","11","92","57.6","69.2","46.0"
"USC00094700","JONESBORO, GA US","33.5312","-84.3545","283.5","1992",,,,,
"USC00093325","FARGO 17 NE, GA US","30.8264","-82.3606","37.8","1992",,,,,
"USC00091266","BROOKLET 1 W, GA US","32.375","-81.6731","54.9","1992","24","97","65.4","75.3","55.6"
"USC00092475","DAHLONEGA 4 WSW, GA US","34.5069","-84.0207","445.0","1992","13","91","56.0","68.0","44.0"
"USC00094429","HOMERVILLE 5 N, GA US","31.0767","-82.8003","57.0","1992","20","98","64.2","76.9","51.6"
"USC00094949","LA GRANGE, GA US","33.0537","-85.0318","222.5","1992","18","95","61.8","73.0","50.6"
"USC00097087","PLAINS SW GA EXPERIMENTAL STATION, GA US","32.0467","-84.3711","152.4","1992","22","99","64.0","74.9","53.0"
"USC00092408","CUMMING 2 N, GA US","34.2286","-84.1281","347.5","1992",,,,,
"USC00094133","HARTWELL, GA US","34.35178","-82.93013","245.4","1992",,,,,
"USC00090746","BEAVERDALE, GA US","34.91944","-84.83222","225.6","1992",,,,,
"USC00095863","MIDVILLE EXPERIMENTAL STATION, GA US","32.8753","-82.2156","85.3","1992","21","99","62.8","73.8","51.7"
"USC00092006","CLEVELAND, GA US","34.5859","-83.7658","477.6","1992",,,,,
"USC00095988","MONTICELLO, GA US","33.3329","-83.6975","157.9","1992",,,,,
"USC00090586","BAINBRIDGE INTERNATIONAL PAPER, GA US","30.82278","-84.6175","57.9","1992","21","98","66.2","78.4","54.0"
"USC00096838","PATTERSON, GA US","31.3781","-82.1292","32.0","1992",,,,,
"USC00092485","DALLAS 7 NE, GA US","33.9982","-84.751","313.3","1992","12","96","58.5","70.2","46.9"
"USC00097808","SAPELO ISLAND, GA US","31.39806","-81.28077","3.0","1992","24","97","65.6","75.1","56.2"
"USC00092361","CRISP CO POWER DAM, GA US","31.8453","-83.9409","74.7","1992",,,,,
"USC00093570","FRANKLIN, GA US","33.2759","-85.0992","240.8","1992",,,,,
