OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1336286,Arson,NY,4/15/2005,4/15/2005,2005,4.25,42.49348534,-78.05695041,0
1336287,Miscellaneous,NY,4/16/2005,4/16/2005,2005,0.93,42.52798587,-78.17083425,0
1336288,Debris Burning,NY,4/19/2005,4/19/2005,2005,10,42.42780245,-78.07112917,0
1336289,Arson,NY,5/13/2005,5/13/2005,2005,0.1,42.46635859,-78.08651852,0
1336290,Miscellaneous,NY,5/13/2005,5/13/2005,2005,0.1,42.52798587,-78.17083425,0
1336291,Miscellaneous,NY,5/27/2005,5/27/2005,2005,1,42.47317919,-78.19293338,0
1336292,Miscellaneous,NY,4/16/2005,4/16/2005,2005,0.93,42.42834477,-78.15605917,0
1336293,Miscellaneous,NY,4/20/2005,4/20/2005,2005,0.38,42.41449746,-78.03009951,0
1336294,Arson,NY,4/19/2005,4/19/2005,2005,1.1,42.27057401,-78.22676186,0
1336295,Lightning,NY,4/26/2005,4/26/2005,2005,0.68,42.28137596,-78.23088332,0
1336296,Miscellaneous,NY,5/20/2005,5/20/2005,2005,0.1,42.20177574,-78.2692152,0
1336297,Arson,NY,10/24/2005,10/24/2005,2005,0.1,42.35944555,-78.198219,0
1336298,Arson,NY,4/17/2005,4/17/2005,2005,2.01,42.21389855,-78.14530895,0
1336299,Lightning,NY,5/8/2005,5/8/2005,2005,0.1,42.10808157,-78.16341481,0
1336300,Lightning,NY,9/4/2005,9/4/2005,2005,0.1,42.21389855,-78.14530895,0
1336301,Miscellaneous,NY,4/17/2005,4/17/2005,2005,2.01,42.38578213,-78.21867985,0
1336302,Debris Burning,NY,4/17/2005,4/17/2005,2005,2.01,42.38171824,-78.26985496,0
1336303,Miscellaneous,NY,5/5/2005,5/5/2005,2005,1,42.38171824,-78.26985496,0
1336304,Debris Burning,NY,5/6/2005,5/6/2005,2005,0.8,42.38171824,-78.26985496,0
1336305,Miscellaneous,NY,4/9/2005,4/9/2005,2005,2.2,42.17377571,-77.98265169,0
1336306,Miscellaneous,NY,4/15/2005,4/15/2005,2005,4.25,42.0130368,-78.03358962,0
1336307,Miscellaneous,NY,4/16/2005,4/16/2005,2005,0.93,42.1275348,-78.01821303,0
1336308,Miscellaneous,NY,4/17/2005,4/17/2005,2005,2.01,42.17377571,-77.98265169,0
1336309,Equipment Use,NY,4/26/2005,4/26/2005,2005,0.68,42.17377571,-77.98265169,0
1336310,Miscellaneous,NY,5/9/2005,5/9/2005,2005,0.1,42.09320252,-78.054181,0
