"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USR0000CFRI","FRIEND MOUNTAIN CALIFORNIA, CA US","40.505","-123.3417","1219.2","2005","20","100","52.2","63.5","40.9"
"USW00023271","SACRAMENTO 5 ESE, CA US","38.5552","-121.4183","11.6","2005","34","107","63.7","75.5","52.0"
"USR0000CCLA","CLAREMONT CALIFORNIA, CA US","34.1369","-117.7069","501.4","2005","35","101","63.4","75.4","51.5"
"USW00023157","BISHOP AIRPORT, CA US","37.3711","-118.358","1250.3","2005","11","108","56.5","74.3","38.7"
"USW00023277","WATSONVILLE MUNICIPAL AIRPORT, CA US","36.9358","-121.7886","48.8","2005","32","91","57.6","67.6","47.6"
"USW00023158","BLYTHE ASOS, CA US","33.6186","-114.7142","120.4","2005","26","121","73.7","87.3","60.1"
"USC00041312","CALISTOGA, CA US","38.5961","-122.6013","121.9","2005","25","102","59.5","74.6","44.5"
"USC00042402","DE SABLA, CA US","39.8716","-121.6108","826.0","2005","24","103","56.1","69.9","42.3"
"USC00043614","GREENVIEW, CA US","41.5519","-122.9236","859.5","2005",,,,,
"USC00045915","MOUNT DIABLO JUNCTION, CA US","37.8792","-121.9303","661.4","2005","29","99","57.2","68.4","46.0"
"USC00041316","CALLAHAN, CA US","41.3111","-122.8044","970.8","2005","8","99","50.3","65.0","35.5"
"USR0000CCLK","CLARK CALIFORNIA, CA US","33.8767","-117.3089","524.3","2005","32","107","64.1","79.1","49.1"
"USS0019L06S","POISON FLAT, CA US","38.51","-119.63","2357.9","2005","2","82","40.9","53.4","28.4"
"USR0000CDNK","DINKEY CALIFORNIA, CA US","37.0664","-119.0394","1727.6","2005",,,,,
"USC00049035","TRONA, CA US","35.7636","-117.3908","516.6","2005","26","117","68.1","81.8","54.5"
"USR0000CSLA","SLATER BUTTE CALIFORNIA, CA US","41.8586","-123.3525","1423.4","2005","21","95","49.9","58.8","41.0"
"USC00040343","ASH MOUNTAIN, CA US","36.4914","-118.8253","520.6","2005",,,,,
"USR0000CDNO","DELNORTE CALIFORNIA, CA US","34.0092","-119.6542","243.8","2005","45","94","62.4","69.1","55.7"
"USS0020H13S","ADIN MOUNTAIN, CA US","41.24","-120.79","1886.7","2005","-3","89","43.3","56.4","30.1"
"USR0000CDMC","DEMOCRAT CALIFORNIA, CA US","35.5317","-118.6303","718.1","2005","28","108","61.6","75.3","47.9"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","38.8983","-119.9947","1924.5","2005","-4","89","43.4","57.1","29.6"
"USW00093110","OXNARD VENTURA CO AIRPORT, CA US","34.20083","-119.20694","11.0","2005","41","93","61.3","68.9","53.8"
"USW00093111","POINT MUGU NF, CA US","34.11667","-119.11667","4.0","2005","37","99","59.6","68.4","50.9"
"USC00049173","UPPER LAKE, CA US","39.19056","-122.89639","406.9","2005",,,,,
"USR0000CAGD","ARROYO GRANDE CALIFORNIA, CA US","35.1792","-120.3919","319.4","2005","32","104","61.2","76.5","46.0"
"USW00093112","NORTH ISLAND NAS, CA US","32.7","-117.2","7.9","2005",,,,,
"USC00044838","LAVA BEDS NAT MON, CA US","41.7019","-121.5011","1453.9","2005","9","98","48.4","61.2","35.5"
"USC00042410","DESERT CENTER 2 NNE, CA US","33.7377","-115.3925","227.7","2005","29","120","72.7","86.7","58.7"
"USC00044710","LAKESIDE 2 E, CA US","32.8536","-116.8947","210.3","2005",,,,,
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","2005","24","120","72.7","87.4","58.0"
"USC00044712","LAKE SOLANO, CA US","38.492","-122.0039","57.0","2005","31","108","63.3","76.0","50.5"
"USR0000CBIP","BIG PINES CALIFORNIA, CA US","34.3789","-117.6919","2108.3","2005","16","95","52.3","63.5","41.1"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","36.5927","-121.8555","37.2","2005","32","86","57.9","66.5","49.3"
"USC00043747","HANFORD 1 S, CA US","36.3158","-119.637","72.2","2005","26","105","62.8","75.2","50.4"
"USC00044957","LINDSAY, CA US","36.2032","-119.0545","132.6","2005",,,,,
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","2005","31","109","62.6","75.3","49.9"
"USR0000CBIH","BIG HILL CALIFORNIA, CA US","41.0975","-123.6358","1088.1","2005","25","96","52.2","61.1","43.3"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","38.69556","-121.58972","7.0","2005","29","106","61.5","74.2","48.7"
"USW00093227","NAPA CO AIRPORT, CA US","38.2102","-122.2847","4.3","2005","24","101","56.3","68.7","43.9"
"USW00093228","HAYWARD AIR TERMINAL, CA US","37.6542","-122.115","13.1","2005","34","93","59.2","66.7","51.6"
"USC00042771","EL MIRAGE, CA US","34.5891","-117.6302","899.2","2005",,,,,
"USC00040232","ANTIOCH PUMPING PLANT NUMBER 3, CA US","37.9833","-121.7525","18.3","2005",,,,,
"USR0000CHUR","HURLEY CALIFORNIA, CA US","37.0153","-119.5678","366.1","2005","20","108","59.8","75.3","44.2"
"USC00049185","UPPER SAN LEANDRO FILTERS, CA US","37.7719","-122.1675","120.1","2005",,,,,
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","33.62667","-116.15944","-36.0","2005","26","121","72.8","87.8","57.8"
"USR0000COAM","OAK MOUNTAIN CALIFORNIA, CA US","41.0064","-121.9833","518.2","2005","27","105","57.8","69.2","46.5"
"USS0020H02S","CROWDER FLAT, CA US","41.89","-120.75","1575.8","2005","0","93","45.4","57.7","33.2"
"USR0000COAK","OAK KNOLL CALIFORNIA, CA US","41.8386","-122.85","591.3","2005","15","107","54.6","70.6","38.6"
"USR0000CSIV","SIMI VALLEY CALIFORNIA, CA US","34.2911","-118.8144","278.6","2005","39","97","62.5","71.5","53.4"
"USR0000CSIM","SIMS CALIFORNIA, CA US","41.075","-122.3733","731.5","2005","27","107","57.5","70.2","44.8"
"USR0000CGRA","GRANITE MOUNTAIN CALIFORNIA, CA US","34.5356","-117.0258","1438.7","2005",,,,,
"USR0000CYUR","YUROK CALIFORNIA, CA US","41.2897","-123.8575","150.9","2005","31","106","57.1","68.5","45.6"
"USW00003102","ONTARIO INTERNATIONAL AIRPORT, CA US","34.05611","-117.60028","289.3","2005","36","102","65.6","77.3","53.7"
"USC00045933","MOUNT HAMILTON, CA US","37.3436","-121.6425","1282.0","2005","26","91","54.8","61.1","48.5"
