"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USC00098974","VALDOSTA, GA US","30.8055","-83.2736","80.8","2015",,,,,
"USC00094133","HARTWELL, GA US","34.35178","-82.93013","245.4","2015","10","98","62.2","72.1","52.3"
"USR0000GARM","ARMUCHEE NUMBER 1 GEORGIA, GA US","34.6953","-85.1736","351.1","2015","5","97","62.0","70.1","53.8"
"USC00094138","HARTWELL DAM, GA US","34.33917","-82.83546","210.3","2015","11","99","62.7","73.0","52.5"
"US1GACS0003","RINGGOLD 2.8 NW, GA US","34.9461","-85.1444","259.1","2015",,,,,
"US1GABW0004","WINDER 3.9 NNE, GA US","34.0426","-83.6919","226.2","2015",,,,,
"USR0000SSAV","SAVANNAH NWR SOUTH CAROLINA, SC US","32.1","-81.0833","3.0","2015",,,,,
"US1GASV0005","NEWINGTON 0.5 SSE, GA US","32.5823","-81.5032","42.7","2015",,,,,
"US1GAWY0007","SCREVEN 2.3 ENE, GA US","31.4986","-81.9817","37.5","2015",,,,,
"US1GAGW0039","BETHLEHEM 7.0 W, GA US","33.9498","-83.8297","303.0","2015",,,,,
"US1GAOG0025","COMER 5.4 S, GA US","33.9837","-83.1378","176.2","2015",,,,,
"US1GACT0038","SAVANNAH 4.5 SSW, GA US","31.9613","-81.1494","9.4","2015",,,,,
"USW00053873","CARTERSVILLE AIRPORT, GA US","34.12306","-84.84861","232.6","2015","8","99","61.7","72.8","50.5"
"US1GACT0039","SAVANNAH 5.3 WNW, GA US","32.063","-81.2104","4.6","2015",,,,,
"US1GAOG0020","COLBERT 4.1 S, GA US","33.9781","-83.2233","221.0","2015",,,,,
"US1GADK0001","TUCKER 1.3 ENE, GA US","33.8591","-84.201","325.2","2015",,,,,
"US1GACT0036","SAVANNAH 5.9 SSW, GA US","31.9425","-81.1596","4.0","2015",,,,,
"USC00098842","TUGALO DAM, GA US","34.71276","-83.35198","234.7","2015",,,,,
"USC00092738","DONALSONVILLE, GA US","31.0286","-84.8911","45.7","2015","18","102","70.1","80.1","60.0"
"US1GADK0007","NORTH DECATUR 3.0 NNE, GA US","33.8483","-84.2747","306.6","2015",,,,,
"US1GAWL0012","LOGANVILLE 4.0 E, GA US","33.8355","-83.8255","275.5","2015",,,,,
"USC00090311","APPLING 2 NW, GA US","33.55731","-82.33683","120.7","2015",,,,,
"USC00091640","CARROLLTON, GA US","33.5972","-85.0805","303.3","2015","9","97","62.1","73.1","51.2"
"USC00090670","BAXLEY 5 NNW, GA US","31.84139","-82.37556","64.9","2015","20","102","67.9","79.4","56.4"
"US1GAHN0004","BREMEN 2.8 WNW, GA US","33.7301","-85.1935","371.2","2015",,,,,
"USR0000GMID","MIDWAY GEORGIA, GA US","31.7842","-81.4386","6.1","2015","19","100","68.7","79.4","58.0"
"US1GAHS0011","HAWKINSVILLE 9.1 NW, GA US","32.364","-83.5958","102.7","2015",,,,,
