OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1807820,Lightning,WA,8/14/2015,9/20/2015,2015,0.1,46.6998,-123.7628,37
1807831,Lightning,WA,6/1/2015,9/22/2015,2015,0.25,48.7301,-119.6872,113
1807832,Lightning,WA,8/24/2015,9/22/2015,2015,0.5,47.2908,-121.4765,29
1807837,Lightning,WA,9/4/2015,9/24/2015,2015,0.1,48.1851,-122.06,20
1807914,Lightning,WA,8/14/2015,12/3/2015,2015,3082,48.3836,-117.8919,111
1807923,Lightning,WA,8/14/2015,12/31/2015,2015,10,48.5692,-119.6312,139
1808168,Fireworks,WA,5/8/2015,5/15/2015,2015,0.25,47.0679,-122.1664,7
1808176,Fireworks,WA,6/7/2015,6/9/2015,2015,0.1,45.9782,-122.6213,2
1808178,Fireworks,WA,6/12/2015,6/12/2015,2015,0.01,47.0048,-123.88175,0
1808182,Fireworks,WA,6/23/2015,6/26/2015,2015,0.1,48.8716,-122.125,3
1808271,Fireworks,WA,7/4/2015,7/8/2015,2015,0.2,46.3207,-122.6703,4
1808273,Fireworks,WA,7/4/2015,7/10/2015,2015,1.5,47.6434,-122.9853,6
1808282,Fireworks,WA,7/5/2015,7/13/2015,2015,0.1,47.3744,-122.8955,8
1808283,Fireworks,WA,7/4/2015,7/13/2015,2015,0.75,46.953,-122.6266,9
1808284,Fireworks,WA,7/4/2015,7/13/2015,2015,2.5,46.8295,-123.5878,9
1808285,Fireworks,WA,7/4/2015,7/15/2015,2015,1.5,48.5189,-122.2192,11
1808286,Fireworks,WA,7/11/2015,7/15/2015,2015,0.01,48.0055,-117.5582,4
1808287,Fireworks,WA,6/29/2015,7/15/2015,2015,0.1,46.9537,-123.1025,16
1808289,Fireworks,WA,7/3/2015,7/16/2015,2015,0.1,47.8425,-121.8616,13
1808290,Fireworks,WA,7/3/2015,7/16/2015,2015,2,48.2184,-122.7585,13
1808291,Fireworks,WA,7/5/2015,7/17/2015,2015,0.4,47.8167,-121.9465,12
1808292,Fireworks,WA,7/4/2015,7/18/2015,2015,3.1,48.7605,-122.3556,14
1808293,Fireworks,WA,7/5/2015,7/18/2015,2015,2,48.9568,-122.1788,13
1808294,Fireworks,WA,7/18/2015,7/18/2015,2015,1.5,46.1321,-122.9144,0
1808298,Fireworks,WA,7/18/2015,7/23/2015,2015,0.2,45.6381,-122.1849,5
1808299,Fireworks,WA,7/7/2015,7/23/2015,2015,0.6,46.8464,-122.2719,16
1808300,Fireworks,WA,7/4/2015,7/24/2015,2015,0.25,47.5178,-123.1352,20
1808301,Fireworks,WA,7/4/2015,7/24/2015,2015,0.1,47.8545,-117.6601,20
1808303,Fireworks,WA,7/22/2015,7/26/2015,2015,1,45.7319,-122.3709,4
1808308,Fireworks,WA,7/13/2015,7/30/2015,2015,0.3,48.4729,-122.5882,17
1808311,Fireworks,WA,7/31/2015,8/2/2015,2015,0.1,46.4963,-122.9387,2
1808317,Fireworks,WA,7/17/2015,8/27/2015,2015,12,48.1041,-121.957,41
1808320,Fireworks,WA,7/4/2015,9/13/2015,2015,0.01,48.5762,-117.3514,71
1808325,Fireworks,WA,7/5/2015,11/1/2015,2015,32.1,48.7668,-122.3066,119
1808353,Fireworks,WA,7/3/2015,12/3/2015,2015,332,48.5902,-117.9286,153
1808827,Powerline,WA,5/16/2015,5/21/2015,2015,0.1,47.7942,-117.5503,5
1808863,Powerline,WA,6/8/2015,6/12/2015,2015,0.1,48.0231,-118.3701,4
1808867,Powerline,WA,6/6/2015,6/14/2015,2015,0.2,47.7784,-117.2317,8
1808870,Powerline,WA,6/8/2015,6/15/2015,2015,3,48.9154,-119.4279,7
1808884,Powerline,WA,6/12/2015,6/19/2015,2015,0.1,48.6509,-118.7558,7
1808896,Powerline,WA,6/13/2015,6/23/2015,2015,0.01,48.1842,-117.2342,10
1808917,Powerline,WA,7/3/2015,7/5/2015,2015,0.01,47.9195,-117.3672,2
1808918,Powerline,WA,6/27/2015,7/6/2015,2015,1.9,48.9963,-118.7711,9
1808919,Powerline,WA,6/29/2015,7/6/2015,2015,0.01,48.3161,-117.6913,7
1808920,Powerline,WA,6/12/2015,7/6/2015,2015,4.5,48.6136,-118.1016,24
1808921,Powerline,WA,7/2/2015,7/7/2015,2015,0.5,48.5797,-117.3544,5
1808925,Powerline,WA,6/26/2015,7/9/2015,2015,0.3,48.5936,-118.0658,13
1808931,Powerline,WA,6/29/2015,7/15/2015,2015,0.1,46.7591,-122.0778,16
1808932,Powerline,WA,7/15/2015,7/15/2015,2015,0.1,48.8794,-117.6038,0
1808933,Powerline,WA,7/14/2015,7/15/2015,2015,0.1,45.7475,-122.3296,1
1808934,Powerline,WA,7/13/2015,7/17/2015,2015,0.1,47.8739,-124.3436,4
1808947,Powerline,WA,7/20/2015,7/27/2015,2015,0.75,48.408,-122.5006,7
1808980,Powerline,WA,7/31/2015,8/3/2015,2015,0.1,46.8579,-122.6688,3
1808990,Powerline,WA,8/3/2015,8/6/2015,2015,0.01,48.3137,-117.8531,3
1809008,Powerline,WA,7/30/2015,8/11/2015,2015,0.01,47.7444,-124.3441,12
1809024,Powerline,WA,8/16/2015,8/19/2015,2015,0.01,48.8797,-118.2098,3
1809028,Powerline,WA,8/22/2015,8/22/2015,2015,0.3,45.701,-121.7477,0
1809031,Powerline,WA,8/23/2015,8/27/2015,2015,0.1,45.9292,-122.445,4
1809032,Powerline,WA,7/13/2015,8/27/2015,2015,2,46.7238,-122.7947,45
1809038,Powerline,WA,8/29/2015,9/1/2015,2015,6.6,48.9723,-118.7624,3
1809061,Powerline,WA,9/9/2015,9/16/2015,2015,0.83,47.5886,-117.4481,7
1809068,Powerline,WA,8/29/2015,9/18/2015,2015,0.5,46.082,-117.1563,20
1809069,Powerline,WA,8/29/2015,9/18/2015,2015,0.5,46.082,-117.1563,20
1809070,Powerline,WA,8/29/2015,9/18/2015,2015,0.5,46.082,-117.1563,20
1809071,Powerline,WA,9/11/2015,9/19/2015,2015,0.2,48.9378,-119.2809,8
1809100,Powerline,WA,9/30/2015,10/9/2015,2015,5.5,48.6567,-119.2999,9
1809101,Powerline,WA,10/1/2015,10/9/2015,2015,0.2,48.693,-119.4799,8
1809111,Powerline,WA,10/8/2015,10/13/2015,2015,0.01,48.5671,-119.0412,5
1809232,Powerline,WA,8/29/2015,12/3/2015,2015,0.01,47.8688,-117.5805,96
1809233,Powerline,WA,9/22/2015,12/3/2015,2015,0.01,47.9025,-117.818,72
1809256,Powerline,WA,8/14/2015,12/31/2015,2015,120,48.6767,-118.8494,139
1809869,Structure,WA,4/13/2015,4/21/2015,2015,0.25,48.6898,-117.9473,8
1809875,Structure,WA,4/24/2015,4/27/2015,2015,0.5,48.2426,-117.1357,3
1809912,Structure,WA,6/23/2015,6/25/2015,2015,0.25,47.9365,-120.2144,2
1809915,Structure,WA,6/27/2015,7/1/2015,2015,0.5,47.9051,-117.3414,4
1809920,Structure,WA,6/14/2015,7/14/2015,2015,0.1,48.4217,-122.6617,30
1809921,Structure,WA,7/15/2015,7/18/2015,2015,0.5,48.0335,-117.7344,3
1809926,Structure,WA,7/15/2015,7/24/2015,2015,0.25,47.7798,-121.9546,9
1809929,Structure,WA,7/19/2015,7/30/2015,2015,0.1,48.8551,-119.316,11
1809935,Structure,WA,8/3/2015,8/6/2015,2015,0.1,48.893,-119.0656,3
1809940,Structure,WA,8/6/2015,8/18/2015,2015,0.25,48.5596,-118.1613,12
1809942,Structure,WA,8/20/2015,8/25/2015,2015,1,46.9925,-123.4918,5
1809948,Structure,WA,8/18/2015,9/8/2015,2015,0.5,47.9665,-117.2522,21
1809949,Structure,WA,8/23/2015,9/8/2015,2015,0.1,46.1739,-123.0553,16
1809950,Structure,WA,9/11/2015,9/11/2015,2015,0.1,46.1251,-122.8911,0
1809952,Structure,WA,9/15/2015,9/22/2015,2015,0.1,47.5542,-117.096,7
1810662,Equipment Use,WA,3/27/2015,4/3/2015,2015,0.09,47.721,-117.2944,7
1811310,Equipment Use,WA,5/12/2015,5/15/2015,2015,0.1,47.6871,-117.4713,3
1811443,Equipment Use,WA,5/20/2015,5/28/2015,2015,0.01,47.187,-122.8707,8
1811494,Equipment Use,WA,5/21/2015,6/3/2015,2015,0.01,47.1723,-120.3945,13
1811499,Equipment Use,WA,5/31/2015,6/4/2015,2015,0.1,47.913,-117.4189,4
1811526,Equipment Use,WA,5/19/2015,6/9/2015,2015,0.75,47.2685,-122.9959,21
1811547,Equipment Use,WA,6/7/2015,6/13/2015,2015,0.1,48.0003,-117.3449,6
1811548,Equipment Use,WA,6/6/2015,6/13/2015,2015,0.1,47.4723,-122.9242,7
1811605,Equipment Use,WA,5/29/2015,6/20/2015,2015,0.1,48.31343,-122.11137,22
1811675,Equipment Use,WA,6/22/2015,6/26/2015,2015,0.5,47.1301,-122.1479,4
1811720,Equipment Use,WA,6/27/2015,7/2/2015,2015,0.5,47.5423,-117.4843,5
