"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","1992","26","109","65.3","75.2","55.4"
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","1992","9","81","47.9","56.1","39.7"
"USR0000CJUA","JUANITA LAKE CALIFORNIA, CA US","41.7861","-122.0056","1645.9","1992",,,,,
"USC00041244","BUTTONWILLOW, CA US","35.4028","-119.47","68.6","1992","26","107","64.6","77.6","51.6"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","1992",,,,,
"USC00044997","LIVERMORE, CA US","37.6922","-121.7691","146.3","1992","28","104","61.4","73.9","49.0"
"USC00042338","DEER CREEK FOREBAY, CA US","39.3","-120.83333","1357.9","1992","11","96","55.6","66.1","45.0"
"USR0000CJUN","JUNIPER CREEK CALIFORNIA, CA US","41.3322","-120.4725","1332.6","1992","0","100","50.9","64.9","36.9"
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","39.1258","-123.0736","975.4","1992","26","99","58.9","67.3","50.4"
"USC00042331","DEEP SPRINGS COLLEGE, CA US","37.3738","-117.9802","1592.6","1992","1","96","53.5","67.3","39.8"
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1833","-122.2736","661.4","1992","18","102","56.1","70.6","41.5"
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","1992","8","96","49.4","62.9","36.0"
"USC00044523","KERN RIVER PH 3, CA US","35.7831","-118.4389","823.9","1992","20",,,,"48.9"
"USC00046944","PIT RIVER POWER HOUSE 1, CA US","41.0","-121.5","877.8","1992",,,,,
"USC00042467","DONNER MEMORIAL ST PARK, CA US","39.3239","-120.2331","1809.6","1992",,,,,
"USC00046943","PISMO BEACH, CA US","35.1597","-120.683","11.9","1992","34","95","59.9","70.0","49.7"
"USC00040161","ALTURAS, CA US","41.4901","-120.5437","1334.4","1992","-9","104","48.2","66.0","30.4"
"USC00041018","BOWMAN DAM, CA US","39.4539","-120.6556","1641.3","1992",,,,,
"USC00044647","LAGUNA BEACH, CA US","33.5453","-117.7813","13.4","1992",,,,,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","1992","30","91","59.3","69.6","49.1"
"USC00046946","PIT RIVER PH 5, CA US","40.9869","-121.9772","444.4","1992",,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","1992","28",,,,"46.4"
"USC00041010","BOULEVARD 2, CA US","32.66667","-116.3","1097.3","1992",,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","1992",,,,,
"USC00041253","CACHUMA LAKE, CA US","34.5822","-119.9817","242.3","1992","29","105","63.2","78.8","47.6"
"USC00046719","PASADENA, CA US","34.1483","-118.1447","263.3","1992","34","102","66.7","79.2","54.2"
"USR0000CBBR","BIG BAR CALIFORNIA, CA US","40.7333","-123.2333","457.2","1992","26","112","59.8","74.1","45.4"
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","1992","26","91","54.9","66.5","43.3"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","1992","24","110","61.2","77.7","44.7"
"USC00042598","EAGLE MOUNTAIN, CA US","33.8089","-115.4508","296.6","1992","33","114","73.6","83.9","63.4"
"USC00044412","JULIAN CDF, CA US","33.0763","-116.5925","1284.7","1992",,,,,
"USR0000CHOR","HORSE THIEF SPRINGS CALIFORNIA, CA US","35.7706","-115.9092","1524.0","1992","18","99","60.0","68.4","51.5"
"USC00044536","KETTLEMAN STATION, CA US","36.0725","-120.08778","154.8","1992",,,,,
"USC00047807","SAN GREGORIO 2 SE, CA US","37.31167","-122.36167","83.8","1992","30","90","56.5","66.1","46.9"
"USC00042239","CUYAMACA, CA US","32.9897","-116.5872","1414.3","1992","12","94","53.3","66.0","40.7"
"USR0000CDGR","DEVILS GARDEN CALIFORNIA, CA US","41.53","-120.6714","1530.7","1992","0","97","49.8","61.7","37.9"
"USC00044890","LEMON COVE, CA US","36.3817","-119.0264","156.4","1992","28","108","65.2","79.1","51.3"
"USC00045983","MOUNT SHASTA, CA US","41.3218","-122.3173","1102.5","1992","10","96","51.3","64.8","37.8"
"USR0000CHOL","HORSE LAKE CALIFORNIA, CA US","40.6306","-120.5028","1554.5","1992","-6","98","48.4","63.2","33.6"
"USS0020H12S","DISMAL SWAMP, CA US","41.99","-120.18","2243.3","1992",,"91",,"52.1",
