STATE,Total acres,FIRE_SIZE_2002,FIRE_SIZE_2005,FIRE_SIZE_2011,Percent 2002,Percent 2005,Percent 2011
CA,104765165.0,449004.5999999706,195986.22000000312,155063.02000000092,0.0042858196233449405,0.0018707193369093926,0.0014801009476766531
GA,38031853.0,160957.42000000007,292.87,437883.88999999245,0.004232174014765993,7.700650294372983e-06,0.011513609131797824
