STATE,Total acres,FIRE_SIZE_2002,FIRE_SIZE_2005,FIRE_SIZE_2011,Percent 2002,Percent 2005,Percent 2011
CA,"104,765,165","449,004.60","195,986.22","155,063.02",0.43%,0.19%,0.15%
GA,"38,031,853","160,957.42",292.87,"437,883.89",0.42%,0.00%,1.15%
